name,cluster_id
ADGA GROUP CONSULTING,69
COMPASS CANADA EUREST,70
COMPASS CANADA SUPPORT SERVICES,70
COMPASS GROUP CANADA,70
VERITAAQ TECHNOLOGY HOUSE,71
EXPERIS CANADA,71
EXPERIS VERITAAQ,71
DALIAN ENTERPRISES CORADIX TECHNOLOGY CONSULTING IN JOINT VENTURE TEAM DALIAN,72
DALIAN ENTERPRISES CORADIX TECHNOLOGY CONSULTING IN JOINT VENTURE,72
DALIAN ENTERPRISES CORADIX,72
GRAHAM CONSTRUCTION REGINA,73
GRAHAM CONSTRUCTION ENGINEERING,73
GRAHAM CONSTRUCTION,73
UNIVERSITY BRITISH COLUMBIA UBC AVIAN RESEARCH CENTRE,74
UNIVERSITY BRITISH COLUMBIA,74
UNIVERSITY BRITISH COLUMBIA OKANAGAN,74
ORACLE,75
ORACLE CANADA,75
ORACLE CORPORATIONS CANADA,75
CANADIAN HELICOPTER,76
CANADIAN HELICOPTERS EASTERN DIVISION,76
WEATHERHAVEN CANADA RESOURCES,77
WEATHERHAVEN,77
WESCO DISTRIBUTION CANADA,78
WESCO DISTRIBUTION,78
WARTSILA CANADA,79
WARTSILA NORTH AMERICA,79
RF BINNIE,80
RF BINNIE ASSOCIATES,80
ENMAX ENERGY,81
ENMAX,81
BOEING DISTRIBUTION CANADA,82
BOEING COMPANY,82
DU FORT STJEAN,83
FORT STJEAN,83
AGILENT TECHNOLOGIES CANADA,84
AGILENT TECHNOLOGIES,84
UNITED STATES DEPARTMENT AIR FORCEAFSEC,85
UNITED STATES DEPARTMENT AIR FORCE,85
BA BLACKTOP INFRASTRUCTURE,86
BA BLACKTOP,86
KNAPPET INDUSTRIES 2006,87
KNAPPETT INDUSTRIES 2006,87
CORADIX TECHNOLOGY CONSULTING,88
CORADIX TEHCHNOLOGY CONSULTING,88
CLICK NETWORK,89
CLICK NETWORKS,89
CARAHSOFT TECHNOLOGY,90
DELOITTE FOR CARAHSOFT TECHNOLOGY,90
FERO WASTE RECYCLING,91
EFR ENVIRONMENTAL,91
ESRI CANADA LTC,92
ESRI CANADA,92
SAMUEL MANUTECH,93
SAMUEL SON,93
HEWLETT PACKARD CANADA,94
HEWLETTPACKARD CANADA,94
BABCOCKI INTERNATIONAL GROUP,95
BABCOCK INTEGRATED TECHNOLOGY,95
AEF FUELS,96
AEG FULES,96
MITSUBISHI MOTOR SALES CANADA I,97
MITSUBISHI CANADA,97
APRON FUEL SERVICES,98
AFS AVIATION FUEL SERVICES,98
DRS INFRARED TECHNOLOGIES,99
DRS TECHNOLOGIES,99
4 REFUEL,100
4REFUEL CANADA,100
VALCOM CONSULTING GROUP,101
VALCOM CONSULTING,101
HITACHI DATA SYSTEMS,102
HITACHI HIGHTECH CANADA,102
MOTOROLA SOLUTIONS CA,103
MOTOROLA SOLUTION CANADA,103
UNIVERSITY OTTAWA,104
TELFER SCHOOL MANAGEMENT UNIVERSITY OTTAWA,104
IBISKA TELECOM,105
IBISKA,105
FFG FLENSBURG FAHRZEUGBAU GESELLSCHAFT MBH,106
FFG FLENSBURGER FAHRZEUGBAU GESELLSCHAFT MBH,106
DALHOUSIE UNIVERSITY,107
DALHOUSIE UNIVERSITY CONFERENCE SERVICES SUMMER HOUSING,107
BLUEWAVE ENERGY,108
BLUEWAVE,108
DECISIVE GROUP,109
COMBAT NETWORKS,109
CARLETON UNIVERSITY,110
CARLETON UNIVERSITY SCHOOL BUSINESS,110
AV TECH,111
AVTECH,111
LARRY PENNER ENTERPRISES,112
LARRY PENNER ENTERPISES,112
IBI GROUP PROFESSIONAL SERVICES CANADA,113
IBI GROUP PROFESSIONAL SERVICES,113
WOOD,114
WOOD CANADA,114
OPEN TEXT,115
OPEN TEXT CO JP MORGAN LOCKBOX,115
VICTORIA SHIPYARDS DND VENDOR 0001201424,116
VANCOUVER SHIPYARDS,116
UNITED RENTALS CANADA,117
UNITED RENTAL CANADA,117
CALIAN,118
CALAIAN,118
MDA SYSTEMS,119
MDA GEOSPATIAL SERVICES,119
PROTAK CONUSLTING GROUP,120
PROTAK,120
DISCOVERY AIR DEFENCE SERVICE,121
DISCOVERY AIR TECHNICAL SERVICES,121
SAP,122
SAP CANADA,122
GCSTRATEGIES,123
GCSTRATGEIES,123
GOLDER ASSOCIATES,124
GOLDER ASSOCIATE,124
MORIYAMA TESHIMA ARCHITECTS,125
IBI GROUP ARCHITECTS CANADA MORIYAMA TESHIMA ARCHITECTS IN JOINT VENTURE,125
PWC CONSULTING,126
PWC MANAGEMENT SERVICES,126
KENT,127
KENT BUILDING SUPPLIES,127
ARCADIS CANADA,128
ARCADIS PROFESSIONAL SERVICES CANADA,128
CBCI TELECOMCOM,129
CBCI TELECOMSOLOTECH,129
ARAMARK,130
ARAMARK CANADA,130
EMERION,131
EMERIONCOFOMO IN JOINT VENTURE,131
PALADIN SECURITY GROUP,132
PALADIN SECURITY SYSTEMS,132
BGIS GLOBAL INTEGRATED SOLUTIONS CA,133
BROOKFIELD GLOBAL INTEGRATED SOLUTION,133
ARTEMP PERSONNEL SERVICES,134
ARTEMP PERSONNEL,134
BOMBARDIER RECREATIONAL PRODUCTS,135
BOMBARDIER PRODUITS RECREATIFS,135
TETRA TECH,136
TETRA TECH QB,136
RANDSTAD INTERIM,137
1025178RANDSTAD INTERIM,137
PROMAXIX SYSTEMS,138
PROMAXIS SYSTEMS,138
ASSOCIATED ENGINEERING BC APRIL 616,139
ASSOCIATED ENGINEERING BC,139
CARVERYS CONSTRUCTION,140
CARVERYS,140
LOGISTIK UNICORP,141
LOGISTIC UNICORP,141
GARDA CANADA SECURITY,142
GARDAWORLD,142
IBM CANADA IBM CANADA,143
IBM CANADA,143
MCKESSON SPECIALIZED DISTRIBUTION,144
MCKESSON SPECIALTY PRESCRIPTION SERVICES,144
RA MALATEST ASSOCIATES,145
R A MALATEST ASSOCIATES,145
ROCHE DIAGNOSTICE,146
HOFFMANN ROCHE,146
POMERLEAU BESSAC INFRASTRUCTURE,147
POMERLEAU TORONTO,147
R J G CONSTRUCTION,148
RJG CONSTRUCTION,148
ALLTECK LINE CONTRACTORS,149
ALLTECK PARTNERSHIP,149
JOHNSON CONTROLS CANADA,150
SOCIETE CONTROLE JOHNSON CANADA SEC,150
EXECUTIVE FLIGTH CENTER FUEL,151
EXECUTIVE FLIGHT CTR AVIATION,151
DAWSON CONSTRUCTION,152
HDR,153
JOSEPH ELIE,154
BARON SUPPLIES,155
COMPUCON COM,156
ATS SCIENTIFIC,157
KINGSTON CONSTRUCTION,158
PCL CONSTRUCTORS WESTCOAST,159
HOSKIN SCIENTIFIC,160
MICRO FOCUS CANADA TORONTO ON,161
DEW ENGINEERING DEVELOPMENT,162
PCL CONSTRUCTION MANAGEMENT,163
GRAND TOY,164
FELIX TECHNOLOGY,165
SOFTCHOICE,166
SOCIETE VALSOFT,167
WEST YELLOWHEAD COMMUNITY FUTURES DEVELOPMENT,168
CANON CANADA,169
COLLIERS PROJECT LEADERS,170
CAMPBELL SCIENTIFIC CANADA,171
CONPRO INDUSTRIES CANADA,172
PEERLESS GARNMETS,173
ALIMENTS GUY CHICOINE,174
HOULE ELECTRIC,175
BLUMETRIC ENVIRONMENTAL,176
SERCO CANADA MARINE,177
TELESAT,178
MILESTONE ENVIRONMENTAL CONTRACTING,179
TEXTRON SYSTEMS ELECTRONIC SYSTEMS,180
HAMEL CONSTRUCTION,181
NORTHENR MICRO,182
PAL AEROSPACE,183
APPSONTIME TECHNOLOGIES,184
AMADEUS AIRPORT IT AMERICAS,185
COSSETTE COMMUNICATION,186
TENAQUIP,187
DMTI SPATIAL,188
WHITE BEAR INDUSTRIES,189
SENES CONSULTANTS,190
DMD ASSOCIATES ELECTRICAL CONSULTANTS,191
UNITED VAN LINES CANADA,192
WORKDYNAMICS TECHNOLOGIES,193
ACTUATE,194
NATIVE COURTWORKER COUNSELLING ASSOCIATION BRITISH COLUMBIA,195
OKANAGAN AGGREGATES,196
UNIVERSITY ALBERTA CAMPUS SAINT JEAN,197
DILLON CONSULTING,198
KINETIC CONSTRUCTION,199
ROCHE GROUPECONSEIL,200
LAFARGE CANADA,201
MERCK CANADA,202
JACOB BROS CONSTRUCTION,203
COPCAN CIVIL,204
TIREE FACILITY SOLUTIONS,205
WESA CARP,206
BROCOR CONSTRUCTION,207
SMITHS DETECTION,208
WOODWARDS OIL,209
CONSEILLERS EN GESTION INFORMATIQUE CGI,210
COMPUGEN,211
RICOH CANADA,212
ASSOCIATED ENGINEERING SASK,213
LANDMARK SOLUTIONS,214
MERCER CANADA,215
CGI INFORMATION SYSTEMS MANAGEMENT CONSULTANTS,216
SEPROTECH SYSTEMS,217
THALES AIR TRAFFIC MANAGEMENT US,218
AKKODIS CANADA,219
AMAZON WEB SERVICES CANADA,220
SAAB BOFORS DYNAMICS SWITZERLAND,221
IRVING SHIPBUILDING INDUSTRIES,222
CARDINAL HEALTH,223
MCDONNELL DOUGLAS,224
WOOLLY MAMMOTH OUTERWEAR,225
HELIJET INTERNATIONAL,226
PFIZER CANADA,227
MINDWIRE,228
CEDAR CREST LANDS BC,229
LIFEWORKS CANADA,230
ARIVA,231
ATKINSREALIS,232
CMF CONSTRUCTION,233
CNW GROUP,234
LEONARDO UK,235
AMERESCO CANADA,236
APPAREL TRIMMINGS,237
COWI NORTH AMERICA,238
BAXTER,239
INDUSTRA CONSTRUCTION,240
EXCELLERIS TECHNOLOGIES A DIVISION LIFELABS,241
EXCEL,242
UNIVERSITY WATERLOO,243
JANSSEN,244
SANI SABLE LB,245
XEROX CANADA,246
HEWLETT PACKARD ENTERPRISE CANADA C,247
LEICA MICROSYSTEMS CANADA,248
CDW CANADA,249
AVONDALE CONSTRUCTION,250
PACIFIC INDUSTRIAL MARINE,251
ARCHITECTURE49,252
VERREAULT NAVIGATION,253
ELLISDON HALIFAX,254
PETERS BROS CONSTRUCTION,255
WILCO CIVIL,256
COOK CANADA,257
NORTHROP GRUMMAN CANADA 2004,258
LIFE TECHNOLOGIES,259
CELGENE,260
STELLAJONES,261
ILLUMINA CANADA,262
GE HEALTHCARE,263
JANSSENORTHO,264
MNP,265
ULTRAMAR,266
TEVA CANADA,267
TERUS CONSTRUCTION,268
COMPUTER ASSOCIATES CANADA COMPANY,269
KRAUSSMAFFEI,270
GOOGLE,271
READY JOHN,272
SIEMENS HEALTHCARE,273
MAPLE REINDERS CONSTRUCTORS,274
GROUPE SANTE MEDISYS,275
ALACRITY FOUNDATION,276
BIRD CONSTRUCTION GROUP,277
QUANTUM MANAGEMENT SERVICES,278
EBSCO CANADA,279
ADIRONDACK INFORMATION MANAGEMENT AMITA ARTEMP PERSONNEL SERVICES AIM GROUP IN JOINT VENTURE,280
RICHMOND ELEVATOR MAINTENANCE,281
BIORAD LABORATORIES,282
ATLAS VAN LINES,283
GENERAL MOTORS CANADA,284
FINNING INTERNATIONAL,285
MAPLESOFT CONSULTING,286
CANADA WORKDAY,287
ENGLOBE,288
DGS CONSTRUCTION COMPANY,289
NCO FINANCIAL SERVICES,290
HARRIS CANADA SYSTEMS,291
UNITED STATES DEPARTMENT NAVY NAVSEA,292
COQUITLAM RIDGE CONSTRUCTORS,293
ITI CANADA,294
MOLNLYCKE HEALTH CARE,295
DEXTER QUEBEC,296
CIMCO REFRIGERATION,297
GARTNER GROUP CANADA,298
FIDO SOLUTIONS,299
SUNCOR ENERGY PRODUCTS PARTERSHIP,300
PROGRESSIVE VENTURES CONSTRUCTION,301
COLT CANADA,302
AUSENCO ENGINEERING CANADA,303
ADIRONDACK MANAGEMENT,304
ICE DEVELOPMENT,305
KRAUSSMAFFEIWEGMANN KG,306
AGE FUELS,307
RESEARCH IN MOTION,308
PARSONS,309
OMNI FACILITY SERVICES CANADA,310
VITALAIRE CANADA,311
ECOLE LANGUES CITE,312
JAKES CONSTRUCTION,313
SLR CONSULTING,314
TOFCON CONSTRUCTION,315
SURESPAN CONSTRUCTION,316
IDL PROJECTS,317
TOSHIBA CLIENT SOLUTIONS,318
PENNECON HEAVY CIVIL,319
OTO MELARA SPA,320
ALLIED WINGS,321
PRINCE GEORGE REDI MIX DIVISION YCS HOLDINGS,322
TOYOTA CANADA,323
PILITAK ENTERPRISES,324
PERCEPTICS,325
URBAN SYSTEMS,326
F M INSTALLATIONS,327
GE CANADA,328
TECHSOL MARINE,329
STRYKER CANADA,330
NTT DATA CANADA,331
DAIMLER CHRYSLER CANADA,332
BUREAU VERITAS CANADA,333
STONEWORKS TECHNOLOGIES,334
ACHITECTURE 49,335
AMGEN CANADA,336
NATIONS TRANSLATION GROUP,337
PLEIAD CANADA,338
FLYNN CANADA,339
VWR INTERNATIONAL,340
AXYS TECHNOLOGIES,341
LEDCOR CONSTRUCTION,342
GLAXOSMITHKLINE,343
COFOMO,344
ZANZIBAR HOLDINGS,345
AVISPL CANADA,346
CANSEL,347
CANTEXOKANAGAN CONSTRUCTION,348
PATLON AIRCRAFT INDUSTRIES,349
WEST HORIZON CONTRACTING,350
ISL ENGINEERING LAND SERVICES,351
IMPERIAL OIL PRODUCTS AD CHEMICALS DIVISION,352
BAYSHORE HEALTHCARE,353
JONELJIM CONCRETE CONSTRICTION,354
KARL STORZ ENDOSCOPY CANADA,355
SCALAR DECISIONS,356
POMERLEAU,357
THINKON,358
BROADCOM,359
AON HEWITT,360
TPG TECHNOLOGY CONSULTING,361
SAAB MICROWAVE CANADA,362
SEAGEN CANADA,363
4OFFICE AUTOMATION,364
CARSON AIR,365
ABBOTT LABORATORIES,366
FCA CANADA,367
OXFORD GENE TECHNOLOGY,368
AIR LIQUIDE CANADA,369
PEERLESS GARMENTS,370
INTERIOR ROADS,371
BAE SYSTEMS CANADA,372
BEST SERVICE PROS,373
DONA CONA,374
DAIMLER MERCEDESBENZ VERTRIEB DEUTSCHLAND,375
CONVATEC CANADA,376
SIRVA CANADA,377
SCANSA CONSTRUCTION,378
CORPORATE EXPRESS CANADA,379
IMP GROUP IMP SOLUTIONS,380
TANGLE RIDGE CUSTOM CRUSHING,381
UNIT 4 BUSINESS SOFTWARE,382
TERRALINK HORTICULTURE,383
MONERIS SOLUTIONS,384
ANIXTER CANADA,385
PBX ENGINEERING,386
PRAXAIR CANADA,387
BAVARIAN NORDIC,388
ASTRAZENECA CANADA,389
SYSTEMATIX SOLUTIONS TI,390
MEDTRONIC CANADA,391
AVJET HOLDING,392
MEDAVIE HEALTH SERVICES,393
FLATIRON CONSTRUCTORS CANADA,394
TES CONTRACT SERVICES,395
CANADIAN RED CROSS SOCIETY,396
SIERRA SYSTEMS GROUP,397
METOCEAN TELEMATICS,398
IPSS,399
PALMER ENVIRONMENTAL CONSULTING GROUP,400
GENERAL ELECTRIC CANADA,401
ECLIPSYS SOLUTIONS,402
COMPUCOM CANADA,403
ACCENTURE,404
OLYMPUS CANADA,405
INSTITUTE CANADA,406
APPLIED ELECTRONICS,407
SANOFIAVENTIS CANADA,408
YELLOWHEAD ROAD BRIDGE VANDERHOOF,409
ALL ROADS CONSTRUCTION,410
BOMBARDIER MOTOR,411
CENTURY GROUP,412
AINSWORTH,413
CDC CONSTRUCTION,414
SPRINGLINE CONSTRUCTION SERVICES,415
WASTE MANAGEMENT,416
CHARTER,417
CAE,418
WATERS,419
SIGNIA CONSTRUCTION,420
AJILON CANADA,421
SALESFORCES CANADA,422
BROCADE COMMUNICATIONS SWITZERLAND,423
NASITTUQ,424
JEPPESEN SANDERSON,425
SKYLINK AVIATION,426
SANDOZ CANADA,427
JOHNSON JOHNSON,428
KIEWIT CONSTRUCTION SERVICES,429
NTT DATA,430
CACHE CONSULTING,431
DYNABOOK CANADA,432
ABB POWER GRIDS CANADA,433
CANADIAN MARITIME ENGINEERING COATINGS WOOSDSIDE DIVISION,434
